City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Salinas,US,2022-02-01 03:15:53,36.6777,-121.6555,54.82,85,75,3.44
161,Lorengau,PG,2022-02-01 03:17:13,-2.0226,147.2712,77.7,91,100,15.23
162,Bay-Khaak,RU,2022-02-01 03:17:13,51.1667,94.5,-18.47,90,13,0.67
163,Mareeba,AU,2022-02-01 03:17:14,-17.0,145.4333,86.43,74,68,4.74
164,Faanui,PF,2022-02-01 03:17:14,-16.4833,-151.75,81.18,73,6,19.19
165,Iisalmi,FI,2022-02-01 03:17:14,63.5592,27.1907,15.82,94,100,5.68
166,Katherine,AU,2022-02-01 03:17:14,-14.4667,132.2667,82.72,74,71,18.41
167,Horstel,DE,2022-02-01 03:17:15,52.3167,7.5833,38.03,80,93,12.03
168,Iaciara,BR,2022-02-01 03:17:15,-14.0958,-46.6317,68.36,91,100,1.83
169,Port Hardy,CA,2022-02-01 03:17:15,50.6996,-127.4199,39.76,93,75,5.75
170,Georgetown,MY,2022-02-01 03:17:16,5.4112,100.3354,87.73,71,20,8.05
171,Oblivskaya,RU,2022-02-01 03:17:16,48.5362,42.5014,32.38,91,100,13.82
172,Kangaatsiaq,GL,2022-02-01 03:17:16,68.3065,-53.4641,7.77,79,100,2.73
173,Ierapetra,GR,2022-02-01 03:17:17,35.01,25.7353,56.14,72,42,4.0
174,Marfino,RU,2022-02-01 03:17:17,55.7028,37.3822,29.48,100,100,11.18
175,Bredasdorp,ZA,2022-02-01 03:17:17,-34.5322,20.0403,72.28,98,24,3.98
176,Belz,FR,2022-02-01 03:17:18,47.6751,-3.168,49.08,89,90,1.99
177,Mujiayingzi,CN,2022-02-01 03:18:18,42.1167,118.7833,13.8,46,0,9.15
178,Bethanien,NA,2022-02-01 03:18:18,-26.502,17.1583,73.44,67,63,6.8
179,Hvide Sande,DK,2022-02-01 03:18:19,56.0045,8.1294,38.08,75,100,21.47
180,Buala,SB,2022-02-01 03:18:19,-8.145,159.5921,84.69,67,100,3.04
181,Port Shepstone,ZA,2022-02-01 03:18:19,-30.7414,30.455,74.59,90,100,9.15
182,Urumqi,CN,2022-02-01 03:18:20,43.801,87.6005,-1.25,85,75,2.24
183,Ribeira Grande,PT,2022-02-01 03:18:20,38.5167,-28.7,60.24,73,19,11.68
184,Tiksi,RU,2022-02-01 03:18:20,71.6872,128.8694,-10.86,100,100,5.57
185,Mecca,SA,2022-02-01 03:16:41,21.4267,39.8261,58.91,60,0,11.16
186,Chuy,UY,2022-02-01 03:18:21,-33.6971,-53.4616,60.67,66,0,6.22
187,Aripuana,BR,2022-02-01 03:18:21,-9.1667,-60.6333,70.9,98,100,1.77
188,Chisindia,RO,2022-02-01 03:18:21,46.2833,22.1,30.99,94,100,1.54
189,Airai,TL,2022-02-01 03:14:19,-8.9266,125.4092,71.91,63,54,6.87
190,Yablonovo,RU,2022-02-01 03:18:22,50.8523,37.3574,28.26,95,100,13.65
191,Tolyatti,RU,2022-02-01 03:14:20,53.5303,49.3461,26.96,93,100,18.75
192,Cayenne,GF,2022-02-01 03:18:22,4.9333,-52.3333,80.1,85,40,5.99
193,Cherskiy,RU,2022-02-01 03:18:22,68.75,161.3,-4.02,87,100,4.85
194,Viedma,AR,2022-02-01 03:18:23,-40.8135,-62.9967,68.4,26,1,11.56
195,Fukuma,JP,2022-02-01 03:18:23,33.7667,130.4667,49.08,58,100,21.21
196,Victoria,HK,2022-02-01 03:15:28,22.2855,114.1577,57.33,88,100,1.01
197,Qasigiannguit,GL,2022-02-01 03:18:23,68.8193,-51.1922,7.05,97,94,9.04
198,Carnarvon,AU,2022-02-01 03:15:44,-24.8667,113.6333,87.87,58,12,20.71
199,Malinyi,TZ,2022-02-01 03:18:24,-8.9333,36.1333,70.0,98,97,1.21
200,Bilma,NE,2022-02-01 03:17:09,18.6853,12.9164,50.94,25,0,4.12
201,Jutai,BR,2022-02-01 03:18:24,-5.1833,-68.9,76.05,84,96,3.0
202,Raciborz,PL,2022-02-01 03:18:24,50.0919,18.2193,32.85,96,84,7.58
203,Geraldton,AU,2022-02-01 03:18:25,-28.7667,114.6,90.01,31,7,13.8
204,Kangasala,FI,2022-02-01 03:18:25,61.4638,24.076,16.99,89,99,6.06
205,Rio Gallegos,AR,2022-02-01 03:18:25,-51.6226,-69.2181,46.45,71,0,28.77
206,Araouane,ML,2022-02-01 03:15:33,18.9048,-3.5265,65.5,10,6,12.41
207,Honningsvag,NO,2022-02-01 03:18:26,70.9821,25.9704,28.47,76,100,11.52
208,Sao Joao Da Barra,BR,2022-02-01 03:18:26,-21.6403,-41.0511,76.28,90,100,9.53
209,Kruisfontein,ZA,2022-02-01 03:18:27,-34.0033,24.7314,70.88,95,98,2.21
210,Deputatskiy,RU,2022-02-01 03:18:27,69.3,139.9,-15.88,98,100,2.37
211,Mount Isa,AU,2022-02-01 03:18:27,-20.7333,139.5,91.17,46,40,16.11
212,Senneterre,CA,2022-02-01 03:18:28,48.3835,-77.2328,-0.18,95,18,5.1
213,Dunmore Town,BS,2022-02-01 03:18:28,25.5,-76.65,67.19,58,2,16.55
214,Blairmore,CA,2022-02-01 03:15:06,49.6,-114.4353,9.99,85,100,9.22
215,Kununurra,AU,2022-02-01 03:18:28,-15.7667,128.7333,91.38,58,75,18.41
216,Nome,US,2022-02-01 03:18:29,64.5011,-165.4064,17.67,49,0,14.97
217,Jodhpur,IN,2022-02-01 03:18:29,26.2867,73.03,64.38,75,0,4.85
218,Necochea,AR,2022-02-01 03:18:29,-38.5473,-58.7368,55.04,52,15,12.75
219,Leningradskiy,RU,2022-02-01 03:16:55,69.3833,178.4167,-17.3,95,54,9.46
220,Praya,CV,2022-02-01 03:17:09,14.9215,-23.5087,70.34,88,100,12.66
221,La Rioja,ES,2022-02-01 03:18:30,42.25,-2.5,39.31,97,100,13.91
222,Upernavik,GL,2022-02-01 03:18:30,72.7868,-56.1549,-20.67,99,99,6.22
223,Chapais,CA,2022-02-01 03:19:30,49.7834,-74.8492,-20.42,99,41,4.36
224,Grindavik,IS,2022-02-01 03:19:31,63.8424,-22.4338,34.27,75,100,29.93
225,Tokur,RU,2022-02-01 03:19:31,53.1333,132.9,-2.22,85,80,2.24
226,Yaan,NG,2022-02-01 03:19:31,7.3833,8.5667,70.41,20,54,5.73
227,Axim,GH,2022-02-01 03:19:31,4.8699,-2.2405,77.36,86,100,2.42
228,Merauke,ID,2022-02-01 03:19:32,-8.4667,140.3333,79.52,82,100,9.55
229,Urusha,RU,2022-02-01 03:19:32,54.05,122.9,2.7,65,79,5.44
230,Upata,VE,2022-02-01 03:19:32,8.0086,-62.3989,73.18,79,91,5.39
231,Taybad,IR,2022-02-01 03:19:33,34.74,60.7756,41.43,42,54,1.74
232,Ilulissat,GL,2022-02-01 03:19:33,69.2167,-51.1,6.82,72,100,2.3
233,Batemans Bay,AU,2022-02-01 03:19:33,-35.7167,150.1833,93.99,44,100,5.68
234,Filadelfia,US,2022-02-01 03:15:49,39.9523,-75.1638,25.88,72,0,4.0
235,Northam,GB,2022-02-01 03:15:30,51.0333,-4.2167,49.6,85,80,19.6
236,Bambous Virieux,MU,2022-02-01 03:19:34,-20.3428,57.7575,81.21,74,75,18.41
237,Uyuni,BO,2022-02-01 03:19:34,-20.4597,-66.825,49.48,67,6,15.75
238,Nizwa,OM,2022-02-01 03:19:34,22.9333,57.5333,63.81,46,0,1.14
239,Henties Bay,NA,2022-02-01 03:19:35,-22.116,14.2845,68.86,80,100,8.52
240,Kahului,US,2022-02-01 03:17:17,20.8947,-156.47,78.82,69,40,6.91
241,Sorland,NO,2022-02-01 03:19:35,67.667,12.6934,33.24,56,100,14.88
242,Mattru,SL,2022-02-01 03:19:35,7.6244,-11.8332,71.4,98,61,2.44
243,Lasa,IT,2022-02-01 03:19:36,46.6166,10.7002,32.88,95,100,7.74
244,Barrow,US,2022-02-01 03:19:36,71.2906,-156.7887,-14.78,84,100,3.44
245,Ushtobe,KZ,2022-02-01 03:19:36,45.2514,77.9838,22.17,81,100,4.76
246,Breyten,ZA,2022-02-01 03:19:37,-26.3018,29.987,52.61,96,95,1.36
247,Hayden,US,2022-02-01 03:19:01,47.766,-116.7866,28.96,90,0,5.75
248,Nesna,NO,2022-02-01 03:19:37,66.1967,13.0213,24.67,66,100,18.92
249,Acajutla,SV,2022-02-01 03:19:37,13.5928,-89.8275,76.8,68,0,5.39
250,Ixtapa,MX,2022-02-01 03:19:37,20.7,-105.2,72.63,78,0,3.44
251,Mabaruma,GY,2022-02-01 03:19:38,8.2,-59.7833,71.1,96,100,2.42
252,Huaihua,CN,2022-02-01 03:19:38,27.5494,109.9592,37.9,98,100,3.62
253,Egvekinot,RU,2022-02-01 03:19:38,66.3167,-179.1667,0.28,69,96,14.41
254,Sinnamary,GF,2022-02-01 03:19:39,5.3833,-52.95,75.87,89,100,8.77
255,Nanortalik,GL,2022-02-01 03:19:39,60.1432,-45.2371,23.68,79,100,11.61
256,Poum,NC,2022-02-01 03:19:39,-20.2333,164.0167,81.07,75,42,16.4
257,Kidal,ML,2022-02-01 03:19:40,18.4411,1.4078,60.33,9,13,12.17
258,Dong Hoi,VN,2022-02-01 03:19:40,17.4833,106.6,63.86,88,100,7.87
259,Longyearbyen,SJ,2022-02-01 03:19:40,78.2186,15.6401,12.04,73,40,5.75
260,Meulaboh,ID,2022-02-01 03:19:40,4.1363,96.1285,82.29,74,5,2.73
261,Pacasmayo,PE,2022-02-01 03:19:41,-7.4006,-79.5714,71.42,76,46,8.55
262,Filingue,NE,2022-02-01 03:19:41,14.3521,3.3168,59.85,12,1,9.44
263,Hami,CN,2022-02-01 03:19:42,42.8,93.45,22.93,35,33,1.68
